Country,Code,PI,HFI,GPI,M,GBD,HDI,ES,GI,PI Raw,HFI Raw,GPI Raw,M Raw,GBD Raw,HDI Raw,ES Raw,GI Raw,Total
Afghanistan,AFG,4,-1,10,6,5,7,9,8,0.27172124,-1,3.644,594,56925.15,0.511,25.5,0.655,7
Albania,ALB,0,2,3,3,0,2,5,2,0.00274788,0.00274788,1.872,364,23013.69,0.795,49,0.181,2.125
Algeria,DZA,0,7,4,8,1,3,6,5,0.00815226,0.00815226,2.287,743,24307.38,0.748,44.8,0.429,4.25
American Samoa,ASM,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,32093.02,-1,-1,-1,2
Andorra,AND,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,17946.37,0.868,-1,-1,0.5
Angola,AGO,4,6,3,7,4,6,8,6,0.28243506,0.28243506,2.087,679,51390.41,0.581,29.7,0.536,5.5
Antigua and Barbuda,ATG,-1,-1,-1,-1,1,3,5,-1,-1,-1,-1,-1,24391.82,0.778,48.5,-1,3
Argentina,ARG,-1,3,3,5,1,1,5,3,-1,-1,1.978,498,24632.59,0.845,52.2,0.328,3
Armenia,ARM,0,2,4,9,1,3,5,2,0.00067545,0.00067545,2.135,860.05,25136.06,0.776,52.3,0.245,3.25
Australia,AUS,-1,0,1,6,0,0,1,0,-1,-1,1.386,592,19037.63,0.944,74.9,0.097,1.142857143
Austria,AUT,-1,0,0,6,0,0,0,0,-1,-1,1.275,579,18620.94,0.922,79.6,0.069,0.857142857
Azerbaijan,AZE,-1,5,4,8,2,3,6,3,-1,-1,2.3,815.68,34532.29,0.756,46.5,0.323,4.428571429
Bahamas,BHS,-1,2,-1,-1,1,2,6,4,-1,-1,-1,-1,29002.59,0.814,43.5,0.341,3
Bahrain,BHR,-1,5,4,8,0,1,5,2,-1,-1,2.209,739,21249.86,0.852,51,0.212,3.571428571
Bangladesh,BGD,3,6,4,5,2,5,8,6,0.19791469,0.19791469,2.121,474,33089.66,0.632,29,0.537,4.875
Barbados,BRB,0,3,-1,-1,1,2,6,2,0.00852886,0.00852886,-1,-1,23743.58,0.814,45.6,0.252,2.333333333
Belarus,BLR,-1,4,4,8,1,2,4,1,-1,-1,2.111,819.07,28326.77,0.823,53,0.118,3.428571429
Belgium,BEL,-1,1,1,5,0,0,1,0,-1,-1,1.496,536,19465.35,0.931,73.3,0.043,1.142857143
Belize,BLZ,0,3,-1,4,1,4,6,5,0.01710883,0.01710883,-1,431,29790.64,0.716,41.9,0.415,3.285714286
Benin,BEN,6,4,4,4,4,7,8,7,0.36767483,0.36767483,2.182,460,50235.16,0.545,30,0.612,5.5
Bermuda,BMU,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,18276.1,-1,-1,-1,0
Bhutan,BTN,2,4,1,-1,1,5,7,5,0.17486399,0.17486399,1.501,-1,29095.83,0.654,39.3,0.421,3.571428571
Bolivia (Plurinational State of),BOL,1,4,3,6,1,4,6,5,0.09374939,0.09374939,2.074,-1,30715.56,0.718,44.3,0.417,3.75
Bosnia and Herzegovina,BIH,0,3,3,5,1,3,6,1,0.0083075,0.0083075,2.04,-1,24302.19,0.78,45.4,0.149,2.75
Botswana,BWA,-1,3,2,6,3,3,7,5,-1,-1,1.693,-1,39611.79,0.735,40.4,0.465,4.142857143
Brazil,BRA,0,4,5,6,1,3,5,4,0.01634604,0.01634604,2.413,-1,27894.03,0.765,51.2,0.408,3.5
Brunei Darussalam,BRN,-1,5,-1,8,1,2,4,2,-1,-1,-1,-1,25380.98,0.838,54.8,0.255,3.666666667
